2014-based projected population by sex and single year of age, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													
76	17736	17724	17618	16910	18055	19527	20457	19637	20966	27390	25216	24383	23771	23408	23166	23962	24416	24608	25762	26631	27141	27951	28431	29282	30185	30662
77	16146	16924	16982	16897	16234	17349	18782	19696	18923	20221	26439	24360	23571	22996	22660	22440	23225	23677	23876	25008	25864	26372	27170	27646	28483	29374
78	15326	15329	16142	16216	16152	15534	16617	18008	18902	18177	19442	25442	23461	22717	22180	21872	21674	22446	22896	23100	24208	25048	25552	26336	26808	27630
79	14229	14465	14541	15333	15422	15379	14806	15856	17200	18072	17397	18624	24395	22513	21818	21317	21038	20860	21618	22064	22274	23355	24178	24677	25444	25912
80	12878	13341	13641	13733	14502	14604	14583	14055	15067	16362	17210	16583	17771	23301	21522	20874	20412	20160	20003	20744	21186	21400	22452	23256	23746	24496
81	11713	11990	12503	12807	12914	13656	13770	13768	13285	14257	15502	16322	15744	16890	22168	20494	19895	19472	19247	19110	19832	20268	20486	21507	22289	22771
82	10938	10813	11149	11650	11955	12077	12790	12914	12930	12493	13423	14612	15404	14875	15975	20990	19424	18875	18489	18291	18175	18876	19304	19525	20512	21270
83	9747	10000	9967	10299	10785	11090	11223	11906	12039	12071	11678	12564	13695	14455	13975	15026	19767	18312	17812	17462	17291	17195	17873	18292	18514	19464
84	8348	8814	9127	9119	9445	9914	10216	10359	11008	11149	11196	10846	11686	12755	13482	13050	14048	18503	17160	16710	16397	16253	16176	16827	17236	17458
85	7278	7461	7958	8263	8277	8596	9046	9343	9493	10107	10253	10314	10006	10796	11802	12492	12108	13051	17208	15981	15578	15302	15183	15125	15748	16143
86	6022	6417	6653	7117	7411	7446	7755	8182	8473	8628	9204	9354	9427	9160	9897	10836	11488	11150	12035	15888	14776	14420	14180	14084	14044	14635
87	5219	5232	5645	5871	6300	6581	6633	6931	7333	7614	7772	8309	8461	8542	8315	8998	9868	10478	10186	11010	14553	13554	13244	13038	12964	12941
88	4448	4467	4540	4913	5126	5520	5786	5852	6135	6511	6780	6938	7435	7586	7674	7484	8113	8912	9478	9229	9989	13222	12333	12067	11894	11840
89	3623	3748	3821	3896	4229	4429	4786	5035	5112	5378	5726	5979	6135	6591	6740	6831	6675	7249	7976	8498	8288	8985	11911	11128	10903	10759
90+	10978	11404	12069	12681	13253	14023	14853	15877	16980	18007	19135	20427	21778	23097	24650	26135	27510	28563	29984	31862	33964	35607	37654	42044	45190	47713
																										
2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
FEMALES																										
All ages	2751216	2758352	2764753	2771079	2777719	2784650	2791851	2799267	2806756	2814301	2821855	2829380	2836786	2844012	2850990	2857616	2863857	2869696	2875082	2880017	2884532	2888611	2892291	2895646	2898709	2901538
0	27384	27249	27124	26974	27145	27387	27599	27773	27908	28005	28066	28103	28089	28034	27956	27845	27720	27600	27490	27403	27322	27245	27196	27184	27199	27238
1	28115	27559	27391	27268	27119	27292	27536	27749	27924	28060	28158	28219	28256	28242	28188	28110	27998	27873	27754	27643	27557	27475	27399	27351	27339	27354
2	28804	28261	27671	27505	27383	27235	27410	27654	27868	28043	28179	28277	28340	28377	28363	28308	28230	28118	27993	27874	27763	27677	27595	27519	27472	27460
3	29823	28932	28357	27769	27603	27482	27337	27512	27756	27971	28146	28283	28381	28443	28481	28467	28411	28332	28222	28098	27979	27866	27780	27699	27622	27575
4	28590	29934	29014	28440	27853	27686	27568	27425	27599	27843	28059	28234	28372	28469	28532	28569	28555	28499	28420	28310	28186	28067	27954	27867	27787	27710
5	29424	28686	30006	29088	28514	27927	27760	27643	27501	27675	27919	28136	28311	28449	28546	28610	28647	28632	28576	28496	28387	28263	28144	28032	27945	27865
6	29276	29507	28746	30066	29151	28575	27990	27823	27706	27565	27738	27982	28200	28374	28513	28611	28675	28713	28697	28640	28562	28451	28327	28208	28097	28010
7	27994	29341	29555	28794	30115	29200	28626	28041	27874	27757	27616	27790	28034	28251	28426	28565	28663	28727	28765	28749	28692	28614	28503	28379	28260	28149
8	27547	28051	29382	29599	28838	30161	29246	28673	28087	27920	27803	27662	27836	28080	28297	28472	28611	28710	28773	28811	28796	28739	28660	28550	28425	28306
9	27107	27599	28087	29420	29640	28880	30202	29287	28714	28128	27961	27845	27704	27878	28121	28338	28513	28652	28752	28815	28854	28837	28781	28703	28592	28467
10	26496	27154	27633	28121	29456	29676	28917	30238	29324	28752	28165	27998	27883	27741	27914	28158	28376	28551	28690	28790	28853	28891	28875	28819	28741	28630
11	26013	26539	27183	27664	28153	29488	29709	28951	30273	29358	28787	28200	28032	27917	27775	27948	28193	28411	28586	28725	28826	28888	28926	28910	28854	28775
12	25884	26050	26563	27208	27691	28181	29516	29737	28979	30301	29386	28815	28229	28060	27946	27804	27977	28222	28440	28616	28755	28857	28918	28956	28940	28884
13	27062	25917	26069	26582	27229	27712	28203	29539	29757	29000	30324	29408	28838	28251	28082	27968	27826	27999	28244	28462	28638	28777	28879	28940	28979	28963
14	27349	27099	25940	26092	26607	27254	27739	28230	29566	29784	29029	30352	29437	28866	28280	28110	27996	27853	28027	28271	28490	28666	28804	28907	28968	29007
15	28545	27398	27134	25975	26128	26645	27293	27779	28270	29606	29824	29069	30392	29478	28906	28320	28149	28035	27892	28066	28310	28529	28706	28845	28948	29009
16	29163	28605	27441	27177	26020	26173	26690	27340	27826	28317	29654	29873	29118	30441	29527	28955	28369	28197	28083	27940	28115	28358	28577	28754	28893	28996
17	30251	29286	28703	27539	27276	26120	26270	26788	27439	27927	28420	29759	29979	29223	30547	29633	29062	28475	28302	28187	28044	28218	28461	28681	28859	28999
18	30968	30767	29748	29156	27989	27719	26560	26703	27222	27880	28375	28873	30216	30449	29694	31013	30111	29532	28939	28760	28643	28500	28673	28918	29141	29321
19	33033	32066	31757	30730	30126	28946	28663	27493	27626	28150	28819	29326	29834	31195	31445	30688	32009	31114	30521	29916	29729	29610	29465	29638	29887	30114
20	34563	34230	33117	32806	31774	31160	29967	29676	28494	28621	29152	29831	30347	30864	32246	32505	31741	33071	32173	31569	30953	30764	30641	30493	30669	30919
21	35723	35502	35011	33897	33592	32557	31943	30746	30450	29264	29389	29922	30605	31125	31648	33038	33301	32533	33869	32969	32358	31739	31548	31424	31276	31452
22	38871	36499	36102	35616	34509	34209	33177	32568	31370	31074	29887	30013	30546	31231	31752	32275	33667	33929	33161	34499	33597	32986	32366	32176	32051	31902
23	38606	39302	36738	36362	35888	34792	34506	33482	32881	31687	31400	30215	30349	30880	31562	32078	32596	33984	34236	33467	34809	33900	33293	32680	32494	32370
24	36646	38657	39162	36618	36270	35807	34727	34457	33441	32850	31668	31390	30216	30357	30881	31557	32063	32575	33950	34191	33426	34763	33851	33254	32648	32469
25	35995	36686	38533	39035	36515	36183	35730	34665	34399	33390	32806	31634	31361	30198	30340	30860	31530	32030	32538	33902	34137	33377	34707	33796	33204	32605
26	36648	36115	36680	38524	39028	36520	36201	35754	34693	34431	33426	32846	31678	31409	30251	30394	30912	31579	32076	32580	33940	34171	33414	34740	33829	33241
27	35933	36794	36153	36721	38568	39072	36575	36262	35816	34760	34499	33497	32920	31754	31486	30333	30477	30993	31658	32152	32655	34013	34241	33485	34810	33899
28	35421	36091	36858	36221	36792	38641	39148	36658	36345	35901	34847	34587	33588	33012	31848	31581	30430	30575	31091	31754	32247	32748	34104	34332	33577	34900
29	35683	35563	36152	36921	36288	36863	38714	39222	36735	36421	35979	34926	34668	33671	33095	31932	31665	30518	30663	31178	31842	32333	32833	34188	34415	33661
30	34586	35816	35626	36218	36989	36361	36938	38790	39299	36814	36501	36058	35006	34749	33754	33176	32015	31749	30602	30747	31263	31927	32415	32915	34270	34497
31	35202	34717	35888	35699	36296	37070	36445	37024	38876	39385	36901	36587	36145	35093	34836	33841	33263	32103	31836	30690	30835	31351	32015	32503	33003	34357
32	35934	35321	34786	35958	35773	36372	37148	36526	37104	38957	39466	36983	36669	36226	35174	34917	33921	33344	32184	31917	30770	30915	31432	32096	32584	33086
33	35334	36032	35376	34842	36017	35836	36434	37214	36591	37169	39022	39533	37050	36736	36292	35240	34982	33986	33409	32250	31982	30835	30980	31497	32162	32651
34	34655	35424	36084	35430	34901	36076	35896	36497	37278	36655	37232	39085	39598	37117	36801	36356	35305	35045	34049	33472	32313	32045	30898	31042	31559	32225
35	33126	34755	35490	36154	35503	34974	36151	35974	36575	37356	36733	37311	39164	39678	37198	36880	36435	35383	35123	34127	33549	32391	32121	30975	31118	31635
36	31341	33214	34814	35553	36219	35568	35041	36219	36044	36644	37427	36803	37381	39236	39750	37271	36951	36507	35454	35194	34197	33619	32461	32191	31043	31185
37	30293	31405	33252	34854	35596	36263	35614	35088	36265	36092	36691	37474	36851	37429	39284	39800	37321	37000	36557	35504	35243	34245	33668	32510	32241	31092
38	32403	30344	31431	33280	34884	35628	36296	35649	35122	36298	36127	36724	37508	36886	37464	39317	39835	37358	37036	36593	35540	35279	34283	33705	32546	32280
39	33020	32439	30363	31448	33299	34904	35649	36319	35671	35144	36320	36151	36748	37531	36909	37488	39340	39859	37385	37061	36617	35566	35306	34309	33732	32574
40	33179	33049	32449	30375	31460	33312	34919	35665	36335	35688	35161	36337	36168	36765	37548	36927	37506	39357	39878	37405	37081	36638	35586	35327	34330	33753
41	35381	33211	33064	32465	30394	31477	33330	34939	35685	36356	35710	35184	36360	36192	36788	37571	36951	37530	39381	39904	37433	37108	36665	35614	35354	34358
42	38075	35406	33223	33077	32479	30409	31491	33346	34956	35702	36374	35729	35204	36379	36213	36809	37592	36972	37552	39403	39927	37459	37131	36688	35639	35379
43	39781	38087	35408	33226	33080	32484	30417	31496	33352	34963	35709	36382	35738	35214	36390	36223	36821	37603	36985	37565	39415	39940	37474	37146	36703	35656
44	39213	39784	38082	35406	33225	33080	32486	30421	31498	33356	34966	35714	36386	35745	35221	36396	36231	36828	37611	36996	37574	39424	39950	37486	37157	36715
45	40706	39210	39770	38072	35400	33220	33077	32483	30420	31496	33355	34965	35714	36387	35748	35223	36398	36235	36832	37615	37002	37580	39430	39957	37494	37165
46	41544	40699	39198	39758	38064	35395	33217	33074	32481	30421	31495	33354	34966	35715	36388	35751	35227	36401	36240	36837	37622	37009	37587	39437	39965	37504
47	41388	41521	40673	39175	39734	38044	35379	33204	33062	32471	30412	31485	33343	34956	35705	36380	35744	35221	36395	36234	36832	37618	37006	37584	39434	39963
48	41419	41356	41485	40640	39145	39705	38020	35358	33186	33044	32455	30399	31469	33328	34941	35690	36366	35733	35210	36383	36223	36821	37607	36997	37575	39426
49	42736	41381	41314	41444	40604	39113	39674	37992	35334	33166	33024	32437	30383	31452	33310	34922	35673	36349	35718	35196	36369	36210	36808	37593	36986	37565
50	42569	42685	41332	41267	41399	40563	39075	39636	37959	35306	33140	32999	32413	30362	31430	33287	34899	35652	36328	35698	35178	36351	36194	36791	37576	36971
51	42219	42512	42630	41281	41220	41353	40521	39037	39597	37925	35278	33115	32972	32389	30343	31406	33262	34876	35630	36307	35680	35161	36333	36178	36775	37560
52	40847	42157	42453	42573	41232	41172	41307	40479	38999	39559	37891	35250	33090	32947	32365	30323	31383	33240	34854	35609	36287	35662	35144	36314	36161	36760
53	40041	40766	42075	42376	42498	41163	41105	41242	40418	38942	39502	37839	35204	33050	32906	32327	30289	31348	33201	34816	35573	36250	35629	35111	36279	36129
54	38522	39932	40661	41969	42273	42398	41069	41014	41153	40334	38863	39423	37765	35137	32988	32846	32269	30237	31293	33144	34758	35516	36193	35575	35059	36225
55	38639	38408	39818	40549	41858	42164	42291	40970	40917	41058	40244	38777	39337	37686	35066	32923	32781	32208	30182	31234	33083	34695	35454	36131	35515	35003
56	37488	38514	38291	39699	40432	41742	42049	42179	40866	40815	40957	40148	38686	39245	37602	34991	32854	32712	32142	30123	31173	33018	34629	35387	36065	35452
57	36344	37349	38380	38161	39567	40303	41612	41923	42055	40748	40700	40844	40040	38584	39143	37507	34906	32775	32633	32066	30056	31102	32944	34554	35310	35989
58	35232	36184	37195	38225	38010	39417	40152	41460	41773	41908	40609	40564	40710	39911	38462	39021	37393	34802	32678	32539	31974	29972	31016	32855	34460	35217
59	33918	35057	36017	37026	38056	37846	39251	39987	41294	41609	41746	40456	40413	40562	39767	38328	38886	37267	34685	32570	32432	31871	29878	30919	32755	34357
60	33317	33746	34890	35850	36858	37888	37685	39087	39824	41129	41446	41586	40305	40264	40415	39627	38196	38753	37143	34573	32466	32328	31772	29787	30824	32656
61	32805	33133	33574	34715	35675	36685	37715	37517	38915	39652	40956	41276	41418	40146	40107	40259	39478	38057	38613	37013	34453	32356	32218	31667	29690	30724
62	31633	32598	32938	33382	34520	35481	36490	37520	37327	38720	39458	40758	41082	41226	39965	39929	40083	39309	37895	38451	36862	34315	32228	32091	31543	29577
63	32033	31407	32380	32724	33170	34305	35265	36274	37302	37115	38503	39242	40537	40865	41012	39761	39728	39884	39118	37713	38269	36691	34159	32083	31947	31403
64	31886	31769	31166	32138	32484	32933	34064	35023	36030	37057	36874	38258	38995	40287	40616	40768	39527	39498	39656	38898	37504	38059	36494	33978	31914	31780
65	32839	31587	31492	30900	31869	32218	32669	33797	34754	35759	36782	36605	37983	38720	40007	40338	40493	39264	39240	39400	38650	37268	37823	36270	33772	31723
66	33885	32498	31280	31193	30612	31578	31930	32384	33508	34462	35464	36484	36313	37685	38421	39704	40037	40195	38979	38958	39120	38379	37009	37565	36025	33547
67	36794	33491	32147	30950	30870	30302	31264	31617	32073	33193	34144	35143	36159	35994	37358	38093	39369	39704	39865	38665	38647	38812	38081	36725	37280	35755
68	27792	36319	33094	31774	30598	30526	29971	30928	31285	31742	32856	33803	34797	35806	35648	37004	37738	39008	39345	39509	38325	38311	38479	37758	36418	36971
69	26619	27393	35838	32665	31370	30216	30152	29611	30563	30923	31381	32489	33429	34414	35419	35269	36615	37349	38611	38951	39117	37949	37941	38112	37402	36079
70	26897	26190	26986	35316	32199	30932	29801	29746	29219	30166	30528	30987	32085	33016	33995	34994	34852	36188	36920	38173	38515	38685	37535	37532	37707	37009
71	26363	26414	25755	26546	34754	31695	30457	29352	29307	28795	29735	30100	30556	31647	32571	33543	34535	34401	35726	36455	37699	38044	38217	37086	37088	37267
72	24343	25836	25924	25286	26072	34147	31150	29945	28867	28830	28334	29268	29635	30092	31173	32091	33056	34040	33914	35228	35953	37186	37533	37710	36599	36608
73	22743	23812	25314	25410	24794	25572	33505	30578	29406	28356	28327	27848	28775	29143	29601	30673	31582	32539	33515	33399	34700	35421	36642	36991	37172	36084
74	23112	22198	23284	24763	24867	24273	25045	32827	29971	28833	27813	27793	27332	28251	28620	29078	30139	31041	31989	32956	32850	34138	34852	36063	36414	36599
75	22457	22498	21653	22721	24174	24285	23714	24478	32099	29317	28215	27227	27217	26775	27684	28053	28512	29561	30454	31392	32350	32253	33527	34235	35434	35786
76	21792	21798	21887	21075	22125	23548	23668	23121	23876	31323	28622	27557	26603	26603	26180	27078	27448	27907	28943	29826	30753	31701	31614	32870	33572	34757
77	21038	21080	21142	21240	20462	21492	22885	23013	22492	23237	30497	27881	26855	25936	25947	25544	26430	26801	27259	28280	29152	30067	31004	30927	32164	32860
78	20145	20271	20372	20445	20553	19809	20818	22179	22312	21818	22553	29613	27087	26102	25220	25242	24859	25733	26103	26559	27564	28425	29325	30249	30183	31400
79	19033	19317	19505	19615	19700	19817	19111	20095	21420	21561	21095	21817	28664	26232	25290	24447	24481	24119	24979	25348	25801	26789	27636	28520	29430	29374
80	17699	18150	18493	18690	18811	18908	19033	18367	19324	20610	20758	20322	21029	27646	25314	24418	23617	23661	23323	24166	24535	24983	25951	26782	27650	28544
81	16503	16777	17279	17626	17831	17962	18070	18203	17578	18506	19751	19906	19500	20191	26562	24338	23489	22732	22787	22473	23297	23663	24107	25052	25866	26716
82	16231	15537	15873	16367	16715	16928	17069	17187	17327	16745	17641	18843	19003	18628	19302	25411	23300	22500	21788	21854	21565	22368	22732	23170	24090	24885
83	14848	15162	14596	14931	15415	15763	15983	16134	16260	16409	15870	16730	17885	18050	17709	18362	24193	22200	21452	20787	20863	20599	21379	21740	22171	23063
84	13550	13747	14126	13618	13951	14423	14770	14994	15153	15289	15444	14949	15774	16878	17048	16738	17371	22905	21035	20341	19724	19811	19573	20327	20683	21107
85	12133	12419	12689	13059	12610	12939	13398	13742	13970	14136	14279	14439	13991	14778	15826	16000	15723	16333	21554	19812	19174	18607	18703	18492	19217	19567
86	10618	11000	11348	11615	11976	11585	11908	12352	12691	12921	13093	13242	13406	13004	13750	14739	14917	14673	15257	20152	18541	17960	17444	17547	17363	18058
87	9633	9503	9932	10264	10527	10876	10541	10858	11284	11614	11844	12020	12174	12341	11985	12686	13615	13795	13584	14138	18695	17218	16693	16230	16339	16182
88	8655	8497	8465	8862	9177	9432	9767	9488	9795	10202	10521	10749	10927	11083	11251	10941	11595	12460	12639	12461	12984	17190	15847	15380	14969	15085
89	7204	7518	7459	7444	7809	8106	8353	8672	8446	8741	9125	9432	9656	9833	9990	10156	9890	10496	11294	11472	11324	11814	15661	14455	14046	13686
90+	28564	28513	29234	29807	30304	31071	32024	33105	34370	35318	36454	37838	39374	40970	42570	44150	45717	46878	48458	50582	52634	54321	56254	61437	64966	67707
																										
© Crown Copyright 2015																										
