2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													
75	18503	18325	17572	18745	20255	21201	20333	21690	28313	26046	25167	24517	24130	23866	24669	25125	25310	26483	27364	27873	28694	29179	30039	30957	31435	31395
76	17736	17724	17618	16910	18055	19527	20458	19637	20965	27389	25216	24383	23767	23408	23165	23960	24415	24607	25760	26628	27137	27946	28428	29275	30180	30656
77	16146	16924	16982	16897	16234	17349	18782	19697	18923	20221	26438	24360	23571	22992	22660	22439	23223	23677	23875	25006	25861	26368	27165	27643	28477	29369
78	15326	15329	16142	16216	16152	15534	16617	18008	18903	18177	19442	25441	23461	22717	22177	21872	21674	22444	22896	23099	24206	25045	25548	26331	26805	27624
79	14229	14465	14541	15333	15422	15379	14806	15856	17200	18073	17397	18624	24394	22513	21818	21314	21038	20860	21616	22064	22273	23353	24175	24673	25439	25909
80	12878	13341	13641	13733	14502	14604	14583	14055	15067	16362	17211	16583	17771	23300	21522	20874	20409	20160	20003	20743	21186	21399	22450	23253	23743	24491
81	11713	11990	12503	12807	12914	13656	13770	13768	13285	14257	15502	16323	15744	16890	22167	20494	19895	19469	19247	19110	19831	20268	20485	21505	22286	22768
82	10938	10813	11149	11650	11955	12077	12790	12914	12930	12493	13423	14612	15405	14875	15975	20989	19424	18875	18486	18291	18175	18875	19304	19524	20510	21267
83	9747	10000	9967	10299	10785	11090	11223	11906	12039	12071	11678	12564	13695	14456	13976	15027	19766	18312	17812	17460	17291	17196	17873	18292	18513	19463
84	8348	8814	9127	9119	9445	9915	10217	10360	11009	11150	11197	10847	11687	12756	13482	13051	14050	18503	17161	16710	16396	16253	16177	16828	17237	17457
85	7278	7461	7958	8263	8277	8596	9046	9343	9494	10107	10254	10315	10007	10797	11803	12492	12109	13053	17208	15982	15578	15301	15183	15126	15749	16144
86	6022	6417	6653	7117	7411	7446	7755	8182	8473	8629	9204	9355	9427	9161	9898	10837	11488	11151	12037	15888	14777	14420	14180	14084	14045	14636
87	5219	5232	5645	5871	6300	6581	6633	6931	7333	7614	7773	8309	8461	8542	8315	8999	9869	10478	10187	11012	14553	13555	13244	13038	12964	12942
88	4448	4467	4540	4913	5126	5520	5786	5852	6135	6511	6780	6939	7435	7586	7674	7484	8114	8913	9478	9230	9991	13222	12334	12067	11894	11840
89	3623	3748	3821	3896	4229	4429	4786	5035	5112	5378	5726	5979	6136	6591	6740	6831	6675	7250	7977	8498	8289	8987	11911	11129	10903	10759
90+	10978	11404	12069	12681	13253	14023	14853	15877	16980	18007	19135	20427	21778	23098	24650	26135	27510	28563	29985	31864	33966	35610	37659	42049	45196	47718
																										
2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
FEMALES																										
All ages	2751216	2758352	2764753	2771079	2777719	2782640	2787768	2793049	2798344	2803635	2808871	2814011	2818966	2823672	2828058	2832041	2835570	2838639	2841208	2843281	2844886	2846027	2846734	2847093	2847145	2846935
0	27384	27249	27124	26974	27145	27350	27509	27630	27706	27739	27736	27705	27623	27499	27353	27178	26988	26807	26642	26507	26382	26267	26185	26147	26139	26156
1	28115	27559	27391	27268	27119	27264	27472	27631	27754	27831	27864	27861	27831	27750	27626	27479	27303	27114	26933	26768	26634	26509	26394	26312	26275	26267
2	28804	28261	27671	27505	27383	27209	27355	27564	27723	27847	27924	27957	27956	27925	27844	27720	27573	27397	27208	27026	26861	26727	26603	26488	26406	26370
3	29823	28932	28357	27769	27603	27459	27288	27434	27643	27803	27927	28005	28038	28036	28006	27925	27800	27652	27479	27290	27108	26941	26807	26684	26568	26486
4	28590	29934	29014	28440	27853	27665	27524	27355	27500	27709	27870	27994	28073	28105	28104	28073	27992	27867	27719	27546	27357	27175	27008	26873	26751	26635
5	29424	28686	30006	29088	28514	27909	27721	27581	27412	27557	27767	27928	28052	28131	28163	28163	28132	28051	27926	27777	27605	27416	27233	27067	26932	26810
6	29276	29507	28746	30066	29151	28560	27957	27768	27629	27461	27604	27815	27977	28100	28180	28214	28213	28182	28100	27974	27827	27654	27465	27282	27117	26982
7	27994	29341	29555	28794	30115	29187	28598	27995	27806	27667	27499	27643	27854	28015	28139	28219	28253	28252	28221	28139	28013	27866	27693	27504	27321	27156
8	27547	28051	29382	29599	28838	30150	29221	28633	28029	27840	27701	27534	27678	27889	28049	28173	28253	28288	28287	28256	28174	28048	27900	27729	27538	27355
9	27107	27599	28087	29420	29640	28870	30181	29252	28664	28060	27871	27732	27565	27709	27920	28080	28204	28284	28319	28318	28289	28205	28080	27932	27761	27570
10	26496	27154	27633	28121	29456	29666	28896	30207	29279	28691	28087	27897	27759	27591	27735	27947	28108	28232	28312	28346	28346	28315	28233	28108	27960	27788
11	26013	26539	27183	27664	28153	29478	29689	28919	30231	29303	28715	28112	27921	27783	27614	27758	27971	28132	28256	28337	28371	28371	28339	28257	28132	27984
12	25884	26050	26563	27208	27691	28171	29497	29708	28937	30250	29322	28734	28131	27940	27803	27634	27778	27991	28152	28276	28357	28392	28391	28359	28277	28153
13	27062	25917	26069	26582	27229	27703	28183	29510	29719	28948	30263	29334	28748	28143	27952	27815	27646	27790	28003	28165	28289	28370	28405	28404	28373	28290
14	27349	27099	25940	26092	26607	27244	27720	28200	29526	29735	28966	30280	29352	28766	28161	27970	27832	27662	27807	28020	28182	28306	28386	28423	28422	28391
15	28545	27398	27134	25975	26128	26633	27271	27748	28229	29555	29765	28996	30310	29382	28796	28190	27998	27860	27690	27834	28049	28211	28335	28415	28452	28451
16	29163	28605	27441	27177	26020	26162	26667	27306	27783	28264	29591	29802	29033	30346	29419	28832	28227	28035	27897	27727	27871	28085	28247	28371	28452	28489
17	30251	29286	28703	27539	27276	26101	26241	26748	27387	27866	28349	29677	29889	29121	30434	29508	28922	28315	28121	27983	27813	27957	28171	28333	28458	28539
18	30968	30767	29748	29156	27989	27672	26493	26625	27135	27780	28265	28754	30087	30310	29543	30852	29937	29344	28731	28531	28391	28221	28364	28581	28745	28873
19	33033	32066	31757	30730	30126	28847	28517	27328	27449	27965	28621	29118	29616	30968	31208	30438	31750	30841	30235	29610	29402	29259	29087	29230	29451	29619
20	34563	34230	33117	32806	31774	31028	29735	29397	28196	28311	28834	29500	30006	30513	31886	32135	31358	32679	31767	31150	30514	30304	30157	29982	30128	30350
21	35723	35502	35011	33897	33592	32411	31664	30367	30024	28819	28932	29457	30127	30637	31150	32531	32784	32003	33330	32416	31792	31153	30942	30793	30618	30764
22	38871	36499	36102	35616	34509	34048	32869	32125	30828	30485	29279	29393	29919	30590	31101	31615	32996	33249	32467	33797	32880	32257	31616	31406	31257	31081
23	38606	39302	36738	36362	35888	34627	34179	33008	32270	30978	30644	29440	29562	30087	30754	31260	31769	33146	33390	32607	33940	33016	32399	31763	31556	31409
24	36646	38657	39162	36618	36270	35668	34423	33990	32828	32100	30819	30495	29301	29430	29949	30609	31106	31608	32973	33206	32427	33755	32827	32221	31592	31392
25	35995	36686	38533	39035	36515	36072	35480	34249	33820	32666	31944	30673	30355	29171	29301	29816	30470	30961	31459	32813	33040	32266	33587	32660	32060	31438
26	36648	36115	36680	38524	39028	36429	35998	35412	34186	33760	32610	31893	30625	30312	29132	29263	29776	30427	30915	31409	32760	32983	32211	33529	32601	32005
27	35933	36794	36153	36721	38568	38993	36405	35980	35395	34174	33749	32602	31888	30623	30310	29136	29268	29779	30427	30912	31405	32754	32974	32203	33520	32593
28	35421	36091	36858	36221	36792	38571	38999	36418	35993	35410	34191	33767	32623	31910	30647	30335	29164	29297	29808	30454	30938	31429	32775	32995	32226	33540
29	35683	35563	36152	36921	36288	36804	38585	39014	36436	36010	35430	34211	33790	32647	31935	30673	30361	29193	29327	29836	30483	30965	31455	32801	33020	32251
30	34586	35816	35626	36218	36989	36311	36829	38611	39041	36464	36039	35458	34240	33821	32679	31967	30705	30395	29227	29361	29871	30517	30998	31488	32833	33052
31	35202	34717	35888	35699	36296	37028	36353	36873	38654	39085	36510	36083	35503	34285	33866	32723	32013	30752	30440	29273	29407	29918	30562	31043	31534	32879
32	35934	35321	34786	35958	35773	36338	37070	36398	36917	38699	39130	36556	36129	35549	34330	33912	32767	32059	30798	30486	29318	29452	29964	30608	31089	31582
33	35334	36032	35376	34842	36017	35805	36370	37105	36433	36952	38734	39166	36593	36165	35584	34366	33948	32802	32094	30834	30521	29354	29487	29999	30644	31126
34	34655	35424	36084	35430	34901	36051	35840	36408	37143	36471	36989	38772	39205	36634	36204	35622	34405	33985	32840	32133	30872	30559	29393	29525	30037	30683
35	33126	34755	35490	36154	35503	34951	36101	35893	36461	37197	36525	37043	38827	39263	36693	36259	35678	34461	34040	32895	32188	30926	30612	29447	29577	30088
36	31341	33214	34814	35553	36219	35547	34998	36149	35942	36509	37246	36576	37092	38877	39315	36746	36310	35728	34511	34091	32945	32238	30975	30661	29497	29625
37	30293	31405	33252	34854	35596	36244	35575	35026	36178	35972	36539	37275	36607	37122	38908	39346	36779	36342	35759	34544	34122	32976	32271	31008	30693	29529
38	32403	30344	31431	33280	34884	35612	36260	35594	35043	36195	35991	36556	37293	36626	37140	38926	39364	36799	36363	35779	34565	34143	32998	32293	31030	30716
39	33020	32439	30363	31448	33299	34890	35619	36268	35601	35050	36202	36000	36565	37301	36634	37149	38934	39373	36811	36374	35789	34577	34156	33011	32307	31044
40	33179	33049	32449	30375	31460	33299	34892	35622	36271	35605	35054	36206	36004	36569	37305	36639	37154	38939	39380	36819	36381	35797	34585	34165	33020	32316
41	35381	33211	33064	32465	30394	31465	33306	34901	35631	36280	35616	35065	36218	36016	36581	37317	36653	37167	38952	39394	36836	36397	35813	34602	34182	33038
42	38075	35406	33223	33077	32479	30399	31468	33311	34907	35638	36287	35625	35074	36227	36026	36592	37327	36665	37178	38964	39407	36852	36411	35827	34618	34198
43	39781	38087	35408	33226	33080	32475	30397	31464	33307	34905	35635	36286	35625	35076	36228	36027	36594	37329	36668	37181	38968	39412	36858	36417	35834	34626
44	39213	39784	38082	35406	33225	33071	32469	30392	31458	33302	34900	35631	36282	35623	35075	36225	36027	36592	37330	36671	37182	38968	39414	36863	36420	35839
45	40706	39210	39770	38072	35400	33213	33060	32458	30383	31449	33293	34891	35623	36275	35618	35069	36219	36023	36588	37327	36669	37181	38966	39413	36864	36421
46	41544	40699	39198	39758	38064	35387	33202	33049	32448	30377	31441	33285	34884	35616	36268	35614	35065	36216	36020	36585	37326	36669	37180	38967	39415	36868
47	41388	41521	40673	39175	39734	38038	35366	33183	33031	32431	30361	31424	33269	34868	35600	36253	35601	35052	36204	36008	36574	37315	36661	37170	38958	39407
48	41419	41356	41485	40640	39145	39700	38008	35339	33159	33007	32409	30342	31402	33248	34847	35580	36233	35584	35035	36187	35992	36558	37298	36647	37156	38945
49	42736	41381	41314	41444	40604	39107	39663	37974	35309	33133	32981	32385	30320	31379	33224	34822	35557	36211	35564	35015	36167	35973	36539	37279	36630	37140
50	42569	42685	41332	41267	41399	40557	39064	39619	37936	35275	33103	32951	32355	30295	31351	33196	34793	35530	36185	35540	34993	36143	35952	36517	37257	36611
51	42219	42512	42630	41281	41220	41348	40510	39022	39575	37898	35241	33073	32921	32326	30271	31323	33166	34766	35505	36159	35517	34972	36121	35930	36496	37237
52	40847	42157	42453	42573	41232	41167	41297	40463	38978	39531	37860	35207	33042	32891	32298	30247	31296	33139	34738	35479	36134	35495	34951	36098	35910	36475
53	40041	40766	42075	42376	42498	41159	41095	41227	40398	38917	39469	37805	35157	32997	32845	32255	30208	31256	33097	34696	35438	36094	35457	34914	36059	35874
54	38522	39932	40661	41969	42273	42394	41061	41000	41134	40310	38834	39386	37727	35086	32931	32781	32193	30152	31197	33036	34634	35377	36034	35400	34858	36001
55	38639	38408	39818	40549	41858	42160	42283	40958	40899	41035	40216	38744	39296	37644	35011	32862	32713	32128	30093	31134	32971	34568	35311	35968	35336	34798
56	37488	38514	38291	39699	40432	41738	42041	42168	40851	40794	40932	40117	38650	39201	37557	34933	32790	32641	32058	30030	31070	32904	34498	35241	35898	35271
57	36344	37349	38380	38161	39567	40301	41605	41911	42040	40730	40676	40816	40006	38544	39095	37459	34844	32707	32559	31981	29959	30996	32828	34419	35162	35819
58	35232	36184	37195	38225	38010	39414	40148	41452	41759	41891	40588	40537	40679	39875	38420	38971	37343	34739	32609	32462	31888	29873	30907	32737	34324	35067
59	33918	35057	36017	37026	38056	37843	39246	39980	41283	41593	41726	40432	40383	40528	39729	38284	38833	37215	34621	32499	32354	31784	29777	30808	32634	34219
60	33317	33746	34890	35850	36858	37886	37680	39079	39815	41114	41428	41564	40279	40232	40377	39585	38149	38698	37088	34506	32391	32248	31682	29684	30711	32533
61	32805	33133	33574	34715	35675	36682	37710	37510	38904	39641	40938	41255	41393	40117	40073	40220	39434	38007	38555	36955	34384	32278	32137	31574	29585	30609
62	31633	32598	32938	33382	34520	35479	36485	37513	37318	38707	39445	40738	41059	41199	39934	39893	40042	39263	37844	38391	36802	34245	32148	32008	31449	29470
63	32033	31407	32380	32724	33170	34303	35261	36267	37293	37104	38488	39227	40516	40840	40983	39728	39691	39841	39071	37661	38207	36629	34087	32001	31863	31308
64	31886	31769	31166	32138	32484	32931	34061	35017	36022	37046	36862	38242	38979	40265	40590	40737	39493	39459	39612	38850	37450	37997	36431	33905	31831	31695
65	32839	31587	31492	30900	31869	32218	32666	33793	34747	35750	36769	36592	37965	38703	39984	40312	40461	39230	39200	39355	38601	37214	37759	36207	33697	31639
66	33885	32498	31280	31193	30612	31578	31930	32381	33503	34455	35455	36471	36300	37666	38404	39680	40010	40162	38944	38918	39075	38329	36956	37500	35962	33473
67	36794	33491	32147	30950	30870	30301	31263	31617	32070	33187	34137	35133	36146	35980	37339	38075	39346	39677	39833	38629	38608	38767	38031	36672	37215	35691
68	27792	36319	33094	31774	30598	30525	29969	30925	31283	31738	32848	33795	34785	35793	35633	36984	37718	38983	39316	39476	38287	38271	38433	37707	36364	36905
69	26619	27393	35838	32665	31370	30215	30150	29608	30559	30920	31376	32480	33420	34401	35404	35252	36594	37327	38584	38920	39083	37910	37899	38065	37349	36023
70	26897	26190	26986	35316	32199	30930	29799	29743	29215	30161	30524	30981	32074	33006	33982	34979	34834	36167	36897	38146	38484	38651	37497	37490	37659	36955
71	26363	26414	25755	26546	34754	31695	30454	29349	29303	28790	29729	30095	30550	31635	32560	33529	34520	34383	35706	36433	37672	38012	38183	37048	37047	37219
72	24343	25836	25924	25286	26072	34146	31150	29941	28864	28826	28329	29262	29630	30085	31160	32079	33042	34025	33897	35208	35931	37159	37502	37677	36561	36566
73	22743	23812	25314	25410	24794	25572	33503	30578	29401	28352	28322	27842	28768	29139	29594	30660	31570	32525	33499	33381	34679	35398	36615	36960	37139	36047
74	23112	22198	23284	24763	24867	24272	25044	32824	29971	28827	27809	27789	27327	28244	28617	29071	30127	31028	31975	32939	32832	34116	34830	36035	36382	36565
75	22457	22498	21653	22721	24174	24284	23713	24476	32094	29317	28208	27222	27212	26769	27675	28050	28503	29549	30441	31378	32333	32236	33503	34213	35405	35754
76	21792	21798	21887	21075	22125	23548	23665	23120	23874	31318	28620	27549	26596	26596	26173	27068	27444	27897	28930	29812	30738	31682	31596	32846	33550	34727
77	21038	21080	21142	21240	20462	21491	22885	23009	22490	23234	30492	27879	26847	25929	25940	25536	26420	26797	27248	28267	29137	30052	30985	30908	32140	32838
78	20145	20271	20372	20445	20553	19809	20816	22178	22307	21815	22550	29607	27084	26094	25213	25235	24851	25722	26099	26548	27550	28409	29310	30230	30164	31375
79	19033	19317	19505	19615	19700	19816	19111	20093	21419	21556	21091	21814	28658	26228	25281	24440	24473	24111	24968	25343	25791	26775	27619	28505	29411	29356
80	17699	18150	18493	18690	18811	18908	19032	18367	19322	20609	20753	20318	21026	27640	25310	24410	23610	23654	23315	24155	24530	24974	25937	26766	27635	28525
81	16503	16777	17279	17626	17831	17962	18070	18202	17578	18505	19750	19901	19496	20188	26556	24334	23482	22725	22780	22465	23286	23658	24098	25039	25850	26702
82	16231	15537	15873	16367	16715	16928	17069	17187	17326	16745	17640	18842	18998	18624	19299	25405	23296	22493	21782	21847	21557	22358	22727	23161	24077	24869
83	14848	15162	14596	14931	15415	15763	15983	16134	16260	16408	15870	16729	17884	18045	17705	18359	24187	22196	21446	20782	20856	20591	21370	21735	22162	23050
84	13550	13747	14126	13618	13951	14423	14770	14994	15153	15289	15443	14949	15773	16877	17043	16734	17368	22899	21031	20336	19719	19804	19566	20318	20678	21098
85	12133	12419	12689	13059	12610	12939	13398	13742	13970	14136	14279	14438	13991	14777	15825	15996	15719	16330	21548	19808	19169	18602	18696	18485	19209	19563
86	10618	11000	11348	11615	11976	11585	11908	12352	12691	12921	13093	13242	13405	13004	13749	14738	14913	14669	15254	20147	18537	17955	17439	17541	17357	18050
87	9633	9503	9932	10264	10527	10876	10541	10858	11284	11615	11845	12021	12175	12340	11986	12686	13614	13791	13580	14136	18690	17215	16689	16225	16334	16176
88	8655	8497	8465	8862	9177	9433	9768	9489	9796	10201	10522	10750	10929	11085	11251	10942	11596	12460	12637	12457	12983	17186	15846	15378	14966	15081
89	7204	7518	7459	7444	7809	8108	8355	8674	8448	8742	9125	9433	9656	9836	9992	10157	9893	10499	11295	11471	11322	11815	15658	14455	14045	13684
90+	28564	28513	29234	29807	30304	31071	32026	33109	34377	35327	36465	37849	39385	40979	42579	44161	45726	46887	48468	50594	52644	54326	56259	61438	64968	67708
																										
© Crown Copyright 2016																										
