2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													
75	18503	18325	17572	18745	20255	21201	20333	21690	28314	26048	25169	24519	24134	23871	24675	25131	25311	26490	27369	27880	28699	29183	30040	30958	31436	31395
76	17736	17724	17618	16910	18055	19528	20458	19638	20965	27391	25218	24385	23769	23412	23171	23966	24422	24608	25767	26633	27143	27952	28433	29277	30182	30658
77	16146	16924	16982	16897	16234	17349	18783	19696	18924	20219	26440	24362	23574	22994	22664	22445	23228	23683	23876	25013	25867	26373	27170	27648	28479	29370
78	15326	15329	16142	16216	16152	15534	16618	18009	18902	18178	19439	25443	23462	22720	22177	21874	21679	22448	22901	23099	24212	25051	25553	26335	26809	27626
79	14229	14465	14541	15333	15422	15379	14806	15857	17201	18072	17397	18621	24396	22514	21821	21314	21039	20865	21619	22069	22273	23358	24181	24678	25443	25913
80	12878	13341	13641	13733	14502	14604	14583	14055	15068	16363	17210	16583	17768	23302	21523	20877	20409	20161	20008	20745	21191	21399	22455	23259	23747	24495
81	11713	11990	12503	12807	12914	13656	13770	13768	13285	14258	15503	16322	15744	16887	22169	20495	19898	19469	19248	19115	19833	20273	20485	21510	22292	22772
82	10938	10813	11149	11650	11955	12077	12790	12915	12930	12493	13424	14614	15404	14875	15972	20991	19426	18879	18487	18292	18180	18877	19309	19524	20514	21274
83	9747	10000	9967	10299	10785	11091	11224	11905	12041	12072	11679	12565	13698	14456	13977	15025	19767	18314	17815	17462	17293	17202	17876	18297	18514	19466
84	8348	8814	9127	9119	9445	9915	10218	10361	11009	11152	11197	10848	11688	12759	13482	13052	14048	18504	17163	16712	16398	16255	16182	16831	17241	17458
85	7278	7461	7958	8263	8277	8596	9046	9344	9495	10107	10256	10315	10008	10798	11805	12492	12110	13051	17209	15984	15580	15303	15185	15131	15752	16148
86	6022	6417	6653	7117	7411	7446	7755	8183	8475	8631	9205	9358	9427	9162	9900	10839	11488	11152	12035	15890	14779	14422	14181	14087	14050	14640
87	5219	5232	5645	5871	6300	6582	6634	6931	7334	7616	7774	8310	8465	8543	8316	9001	9872	10479	10189	11010	14555	13558	13247	13039	12967	12946
88	4448	4467	4540	4913	5126	5520	5787	5853	6135	6512	6782	6940	7436	7590	7675	7485	8116	8916	9478	9232	9989	13224	12336	12070	11895	11842
89	3623	3748	3821	3896	4229	4429	4786	5036	5113	5378	5727	5981	6137	6592	6744	6832	6675	7252	7980	8498	8291	8985	11912	11131	10906	10760
90+	10978	11404	12069	12681	13253	14023	14853	15877	16981	18009	19137	20429	21780	23101	24654	26142	27517	28569	29992	31873	33972	35618	37662	42052	45200	47724
																										
2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
FEMALES																										
All ages	2751216	2758352	2764753	2771079	2777719	2780643	2783697	2786841	2789941	2792980	2795899	2798656	2801164	2803351	2805163	2806492	2807313	2807608	2807355	2806560	2805258	2803452	2801189	2798551	2795588	2792347
0	27384	27249	27124	26974	27145	27313	27422	27485	27503	27476	27406	27308	27159	26964	26748	26505	26255	26014	25794	25606	25439	25287	25177	25107	25076	25071
1	28115	27559	27391	27268	27119	27237	27406	27516	27580	27600	27573	27503	27406	27257	27062	26846	26603	26353	26112	25892	25705	25537	25386	25276	25207	25176
2	28804	28261	27671	27505	27383	27183	27302	27470	27581	27646	27666	27640	27571	27473	27325	27129	26912	26669	26420	26179	25959	25771	25603	25454	25344	25275
3	29823	28932	28357	27769	27603	27437	27238	27358	27526	27637	27702	27723	27698	27628	27530	27382	27186	26969	26727	26478	26237	26016	25828	25660	25511	25401
4	28590	29934	29014	28440	27853	27645	27481	27283	27402	27570	27682	27747	27769	27743	27674	27575	27427	27231	27014	26772	26523	26282	26061	25872	25705	25556
5	29424	28686	30006	29088	28514	27890	27681	27518	27321	27440	27608	27721	27786	27808	27782	27714	27615	27466	27270	27052	26812	26563	26321	26101	25912	25745
6	29276	29507	28746	30066	29151	28544	27922	27713	27550	27353	27472	27640	27753	27818	27840	27816	27748	27649	27500	27303	27086	26845	26596	26354	26134	25945
7	27994	29341	29555	28794	30115	29174	28568	27946	27737	27575	27377	27497	27666	27777	27844	27866	27841	27774	27674	27525	27329	27111	26870	26621	26380	26160
8	27547	28051	29382	29599	28838	30138	29197	28592	27969	27760	27598	27400	27520	27689	27800	27867	27889	27865	27797	27697	27549	27353	27134	26894	26644	26403
9	27107	27599	28087	29420	29640	28858	30157	29216	28611	27988	27779	27618	27420	27540	27708	27819	27886	27908	27885	27817	27718	27568	27373	27155	26914	26664
10	26496	27154	27633	28121	29456	29654	28873	30172	29232	28627	28004	27794	27634	27435	27555	27724	27836	27903	27925	27901	27834	27733	27585	27390	27172	26930
11	26013	26539	27183	27664	28153	29469	29668	28886	30186	29246	28641	28019	27809	27649	27449	27569	27739	27851	27918	27940	27916	27850	27748	27600	27405	27187
12	25884	26050	26563	27208	27691	28163	29478	29678	28896	30196	29256	28651	28029	27818	27659	27459	27579	27749	27861	27930	27952	27928	27861	27759	27611	27416
13	27062	25917	26069	26582	27229	27693	28166	29482	29679	28898	30200	29259	28655	28032	27821	27662	27462	27582	27752	27864	27933	27955	27931	27864	27764	27616
14	27349	27099	25940	26092	26607	27234	27700	28173	29488	29685	28906	30207	29267	28663	28040	27829	27669	27468	27589	27759	27871	27940	27961	27939	27872	27772
15	28545	27398	27134	25975	26128	26622	27250	27717	28191	29506	29703	28924	30225	29285	28681	28057	27846	27686	27485	27606	27777	27889	27958	27979	27957	27890
16	29163	28605	27441	27177	26020	26148	26642	27271	27738	28212	29529	29727	28948	30248	29309	28704	28080	27869	27709	27508	27629	27799	27911	27980	28002	27980
17	30251	29286	28703	27539	27276	26083	26208	26704	27334	27803	28278	29597	29796	29017	30317	29379	28775	28149	27937	27776	27576	27696	27866	27979	28048	28071
18	30968	30767	29748	29156	27989	27623	26427	26545	27042	27679	28155	28635	29958	30170	29392	30687	29761	29149	28517	28299	28136	27936	28055	28227	28343	28414
19	33033	32066	31757	30730	30126	28750	28370	27164	27272	27773	28421	28910	29400	30740	30970	30189	31486	30567	29941	29298	29071	28907	28704	28823	28999	29119
20	34563	34230	33117	32806	31774	30897	29506	29117	27899	28002	28510	29167	29665	30165	31525	31765	30977	32283	31361	30724	30071	29840	29673	29467	29589	29766
21	35723	35502	35011	33897	33592	32265	31388	29991	29598	28375	28477	28987	29647	30150	30655	32024	32267	31476	32787	31863	31220	30564	30331	30163	29957	30078
22	38871	36499	36102	35616	34509	33887	32561	31688	30289	29897	28673	28776	29287	29948	30453	30957	32328	32570	31779	33093	32165	31523	30866	30633	30465	30259
23	38606	39302	36738	36362	35888	34463	33852	32534	31669	30275	29891	28669	28780	29289	29947	30447	30946	32313	32545	31753	33071	32137	31499	30848	30619	30452
24	36646	38657	39162	36618	36270	35532	34121	33524	32214	31360	29977	29603	28391	28509	29011	29663	30153	30646	32001	32222	31433	32747	31809	31181	30538	30316
25	35995	36686	38533	39035	36515	35962	35232	33835	33242	31940	31092	29720	29351	28148	28268	28765	29411	29896	30384	31728	31944	31159	32466	31530	30908	30271
26	36648	36115	36680	38524	39028	36338	35795	35070	33678	33088	31791	30947	29579	29215	28015	28137	28632	29274	29757	30241	31581	31794	31011	32315	31377	30761
27	35933	36794	36153	36721	38568	38915	36235	35696	34973	33585	32997	31702	30862	29496	29132	27938	28061	28554	29194	29674	30157	31494	31705	30923	32226	31288
28	35421	36091	36858	36221	36792	38503	38851	36177	35639	34918	33531	32945	31653	30815	29450	29088	27895	28020	28512	29150	29630	30111	31445	31656	30875	32176
29	35683	35563	36152	36921	36288	36746	38457	38807	36135	35598	34879	33493	32908	31618	30781	29416	29055	27865	27991	28482	29120	29598	30079	31412	31622	30842
30	34586	35816	35626	36218	36989	36263	36722	38433	38785	36113	35577	34858	33473	32889	31601	30763	29399	29039	27850	27976	28468	29105	29582	30063	31394	31604
31	35202	34717	35888	35699	36296	36986	36263	36724	38434	38787	36117	35579	34862	33477	32893	31604	30767	29404	29043	27854	27980	28473	29109	29586	30068	31398
32	35934	35321	34786	35958	35773	36302	36992	36273	36732	38445	38796	36128	35589	34872	33487	32903	31613	30778	29415	29054	27865	27990	28484	29120	29597	30080
33	35334	36032	35376	34842	36017	35776	36304	36997	36278	36736	38450	38802	36136	35596	34879	33494	32909	31619	30785	29423	29060	27872	27997	28491	29127	29606
34	34655	35424	36084	35430	34901	36026	35785	36316	37010	36291	36748	38462	38815	36151	35610	34892	33508	32922	31632	30799	29436	29074	27886	28010	28504	29141
35	33126	34755	35490	36154	35503	34927	36054	35814	36345	37040	36322	36778	38493	38849	36186	35642	34924	33540	32954	31664	30831	29467	29104	27917	28039	28532
36	31341	33214	34814	35553	36219	35526	34952	36080	35842	36371	37068	36351	36806	38522	38879	36217	35672	34954	33569	32984	31693	30861	29496	29134	27946	28066
37	30293	31405	33252	34854	35596	36226	35535	34962	36089	35854	36381	37079	36362	36817	38534	38893	36231	35685	34968	33583	32998	31706	30875	29511	29149	27961
38	32403	30344	31431	33280	34884	35594	36225	35536	34962	36088	35856	36381	37081	36364	36818	38535	38896	36236	35688	34972	33587	33002	31713	30880	29517	29157
39	33020	32439	30363	31448	33299	34876	35586	36219	35529	34955	36081	35850	36375	37076	36359	36812	38529	38891	36235	35685	34969	33586	33001	31713	30880	29519
40	33179	33049	32449	30375	31460	33287	34866	35577	36209	35520	34946	36072	35843	36367	37069	36353	36806	38521	38885	36231	35680	34966	33583	32998	31712	30879
41	35381	33211	33064	32465	30394	31455	33282	34863	35575	36208	35520	34947	36072	35845	36367	37070	36355	36809	38524	38889	36238	35686	34972	33591	33005	31719
42	38075	35406	33223	33077	32479	30387	31448	33276	34859	35570	36204	35517	34946	36070	35845	36366	37071	36356	36810	38524	38893	36243	35689	34976	33596	33011
43	39781	38087	35408	33226	33080	32465	30375	31434	33262	34847	35559	36193	35507	34937	36061	35837	36359	37062	36351	36805	38517	38888	36241	35686	34974	33596
44	39213	39784	38082	35406	33225	33064	32450	30362	31419	33249	34833	35547	36181	35497	34927	36051	35828	36349	37054	36345	36798	38510	38882	36238	35682	34971
45	40706	39210	39770	38072	35400	33204	33045	32431	30346	31402	33233	34816	35532	36166	35484	34913	36037	35816	36337	37043	36335	36789	38501	38874	36232	35676
46	41544	40699	39198	39758	38064	35380	33186	33027	32414	30332	31386	33217	34802	35518	36153	35472	34903	36026	35807	36328	37035	36328	36782	38494	38868	36228
47	41388	41521	40673	39175	39734	38032	35352	33160	33002	32391	30310	31363	33194	34779	35496	36132	35452	34885	36008	35789	36311	37018	36313	36767	38479	38854
48	41419	41356	41485	40640	39145	39693	37996	35319	33130	32972	32363	30285	31335	33167	34752	35470	36107	35429	34862	35985	35767	36289	36996	36293	36747	38461
49	42736	41381	41314	41444	40604	39102	39650	37956	35284	33098	32941	32333	30257	31306	33137	34722	35442	36079	35404	34837	35960	35744	36266	36972	36272	36727
50	42569	42685	41332	41267	41399	40552	39055	39602	37913	35246	33063	32907	32299	30228	31274	33104	34689	35411	36048	35376	34811	35932	35718	36240	36945	36248
51	42219	42512	42630	41281	41220	41344	40501	39009	39554	37871	35208	33029	32873	32266	30200	31243	33071	34658	35382	36018	35350	34786	35907	35693	36216	36921
52	40847	42157	42453	42573	41232	41162	41288	40449	38960	39505	37828	35169	32993	32838	32234	30171	31211	33039	34625	35351	35989	35323	34760	35880	35668	36191
53	40041	40766	42075	42376	42498	41154	41085	41213	40379	38894	39438	37768	35115	32943	32788	32186	30127	31166	32992	34578	35305	35944	35281	34718	35837	35628
54	38522	39932	40661	41969	42273	42392	41052	40986	41116	40287	38807	39351	37686	35040	32873	32720	32120	30067	31103	32927	34512	35241	35880	35220	34659	35776
55	38639	38408	39818	40549	41858	42157	42277	40946	40882	41014	40190	38714	39257	37599	34962	32801	32648	32051	30005	31038	32860	34443	35171	35811	35154	34596
56	37488	38514	38291	39699	40432	41735	42036	42158	40835	40773	40907	40087	38617	39159	37509	34880	32726	32573	31980	29940	30971	32789	34371	35098	35739	35086
57	36344	37349	38380	38161	39567	40298	41599	41904	42028	40712	40653	40789	39975	38509	39052	37409	34789	32641	32488	31900	29867	30895	32710	34290	35016	35659
58	35232	36184	37195	38225	38010	39412	40143	41443	41750	41876	40568	40512	40649	39842	38383	38927	37290	34681	32540	32388	31804	29779	30804	32617	34193	34919
59	33918	35057	36017	37026	38056	37841	39242	39973	41271	41582	41708	40409	40356	40495	39695	38245	38788	37160	34561	32429	32278	31697	29681	30703	32512	34085
60	33317	33746	34890	35850	36858	37884	37676	39073	39806	41100	41415	41544	40254	40203	40343	39549	38109	38651	37031	34444	32320	32170	31593	29587	30605	32410
61	32805	33133	33574	34715	35675	36679	37705	37504	38895	39630	40922	41239	41371	40089	40042	40184	39397	37965	38505	36896	34320	32205	32057	31483	29485	30500
62	31633	32598	32938	33382	34520	35477	36481	37505	37310	38695	39431	40721	41040	41175	39904	39859	40003	39223	37800	38340	36740	34178	32073	31925	31356	29369
63	32033	31407	32380	32724	33170	34302	35258	36261	37284	37095	38475	39212	40498	40819	40957	39697	39655	39801	39029	37616	38155	36565	34020	31925	31779	31213
64	31886	31769	31166	32138	32484	32931	34058	35014	36014	37036	36851	38228	38963	40246	40569	40711	39461	39422	39572	38807	37405	37944	36365	33837	31754	31611
65	32839	31587	31492	30900	31869	32216	32665	33789	34743	35741	36760	36580	37951	38686	39965	40290	40435	39196	39162	39315	38557	37168	37706	36140	33630	31562
66	33885	32498	31280	31193	30612	31576	31926	32378	33498	34450	35444	36460	36286	37651	38385	39660	39987	40135	38910	38879	39033	38285	36908	37447	35894	33404
67	36794	33491	32147	30950	30870	30300	31260	31612	32065	33181	34130	35121	36133	35965	37323	38055	39324	39653	39804	38594	38567	38724	37986	36623	37161	35623
68	27792	36319	33094	31774	30598	30524	29967	30922	31278	31732	32842	33787	34773	35779	35618	36967	37698	38961	39292	39447	38252	38230	38390	37662	36315	36851
69	26619	27393	35838	32665	31370	30215	30149	29606	30556	30915	31370	32474	33412	34390	35390	35237	36577	37307	38562	38896	39054	37875	37859	38022	37305	35975
70	26897	26190	26986	35316	32199	30930	29799	29742	29213	30158	30519	30975	32068	32998	33972	34965	34819	36150	36878	38124	38460	38623	37462	37450	37616	36912
71	26363	26414	25755	26546	34754	31694	30453	29349	29301	28787	29726	30089	30544	31628	32551	33518	34506	34368	35689	36414	37650	37987	38155	37014	37006	37176
72	24343	25836	25924	25286	26072	34146	31149	29939	28864	28824	28325	29259	29623	30079	31154	32070	33030	34010	33881	35190	35912	37137	37476	37648	36528	36526
73	22743	23812	25314	25410	24794	25571	33502	30577	29398	28351	28319	27837	28764	29131	29587	30653	31560	32512	33484	33365	34660	35378	36592	36933	37109	36013
74	23112	22198	23284	24763	24867	24271	25042	32822	29969	28823	27807	27785	27321	28239	28608	29063	30119	31018	31961	32924	32815	34097	34809	36012	36355	36535
75	22457	22498	21653	22721	24174	24284	23712	24474	32092	29315	28204	27220	27208	26763	27670	28042	28495	29541	30431	31364	32318	32219	33484	34192	35383	35727
76	21792	21798	21887	21075	22125	23548	23665	23118	23871	31315	28618	27545	26594	26593	26167	27062	27437	27889	28921	29801	30723	31667	31579	32826	33529	34706
77	21038	21080	21142	21240	20462	21490	22883	23009	22487	23230	30488	27875	26842	25926	25936	25530	26412	26789	27240	28257	29126	30037	30968	30891	32119	32816
78	20145	20271	20372	20445	20553	19809	20815	22175	22307	21812	22545	29603	27079	26088	25209	25230	24845	25713	26091	26540	27541	28397	29296	30213	30147	31355
79	19033	19317	19505	19615	19700	19816	19111	20092	21416	21556	21088	21809	28654	26224	25276	24436	24468	24105	24959	25335	25783	26767	27608	28492	29395	29339
80	17699	18150	18493	18690	18811	18908	19032	18367	19321	20606	20753	20315	21021	27636	25307	24405	23606	23649	23309	24147	24522	24966	25930	26755	27622	28510
81	16503	16777	17279	17626	17831	17962	18070	18202	17578	18504	19747	19901	19493	20183	26552	24331	23477	22721	22775	22459	23279	23651	24090	25032	25839	26689
82	16231	15537	15873	16367	16715	16929	17070	17188	17327	16746	17640	18839	18998	18622	19295	25401	23294	22490	21779	21844	21553	22351	22720	23154	24071	24859
83	14848	15162	14596	14931	15415	15763	15984	16135	16261	16409	15872	16730	17882	18046	17703	18356	24183	22194	21443	20779	20853	20588	21364	21729	22157	23045
84	13550	13747	14126	13618	13951	14424	14770	14996	15155	15290	15444	14952	15774	16876	17044	16733	17365	22896	21029	20333	19717	19801	19563	20313	20673	21093
85	12133	12419	12689	13059	12610	12939	13400	13742	13972	14139	14281	14439	13995	14778	15826	15997	15719	16327	21546	19807	19166	18601	18694	18482	19204	19559
86	10618	11000	11348	11615	11976	11585	11908	12354	12691	12923	13096	13244	13406	13008	13750	14739	14914	14669	15251	20145	18536	17952	17438	17539	17354	18045
87	9633	9503	9932	10264	10527	10876	10541	10858	11286	11615	11847	12024	12177	12341	11990	12687	13615	13792	13580	14133	18688	17214	16686	16224	16332	16174
88	8655	8497	8465	8862	9177	9433	9768	9489	9796	10203	10522	10752	10931	11087	11251	10945	11597	12461	12637	12457	12980	17184	15844	15374	14965	15079
89	7204	7518	7459	7444	7809	8106	8354	8673	8447	8741	9126	9433	9658	9837	9993	10156	9894	10498	11295	11470	11320	11810	15656	14452	14040	13682
90+	28564	28513	29234	29807	30304	31071	32024	33106	34372	35321	36457	37842	39378	40974	42576	44159	45725	46887	48466	50591	52641	54322	56250	61429	64957	67694
																										
� Crown Copyright 2016																										
