Back to contents																			
	2013Q3	3.2	3.2	2.7	1.7	2.5	2.3	2.7	2.9	1.7	250.9	250.2	98.7	108.6	244.6	95.5	100.4	90.1	100.4
	2013Q4	2.6	2.7	2.1	1.1	0.5	1.9	2.2	4.5	1.2	252.5	251.8	99.3	108.3	244.0	95.7	100.6	91.8	100.4
	2014Q1	2.6	2.7	1.7	0.8	0.4	2.0	1.8	6.4	1.5	253.9	253.3	99.4	108.7	243.3	95.9	101.1	94.1	101.0
	2014Q2	2.5	2.6	1.7	0.6	-0.3	2.3	1.7	8.2	2.2	256.0	255.5	100.1	108.8	242.8	97.0	101.5	96.4	101.9
	2014Q3	2.4	2.5	1.5	-0.1	-0.2	2.4	1.7	8.9	1.7	256.9	256.4	100.1	108.5	244.1	97.8	102.1	98.2	102.1
	2014Q4	2.0	2.0	0.9	-0.6	0.0	2.7	1.5	8.5	1.2	257.4	256.9	100.2	107.7	243.9	98.2	102.2	99.6	101.6
	2015Q1	1.0	1.0	0.1	-1.5	0.3	2.8	0.8	6.7	0.7	256.4	255.9	99.5	107.1	244.1	98.6	101.9	100.4	101.7
	2015Q2	1.0	1.0	0.0	-1.3	0.2	2.8	0.4	5.3	0.8	258.5	258.0	100.1	107.4	243.3	99.7	101.8	101.5	102.7
	2015Q3	1.0	1.0	0.0	-1.5	-0.9	2.9	-0.1	5.4	0.3	259.3	259.0	100.1	106.9	241.9	100.6	101.9	103.5	102.4
	2015Q4	1.0	1.1	0.1	-1.3	-1.4	3.0	0.2	6.4	0.5	260.0	259.6	100.3	106.3	240.6	101.2	102.4	106.0	102.1
	2016Q1	1.4	1.5	0.3	-0.7	-1.7	2.9	0.6	7.9	1.2	260.0	259.6	99.8	106.3	240.0	101.4	102.6	108.3	102.9
	2016Q2	1.4	1.5	0.4	-0.3	-1.8	1.8	1.1	8.7	1.2	262.2	262.0	100.4	107.1	239.0	101.5	102.9	110.3	103.9
	2016Q3	1.9	2.0	0.7	0.7	-3.2	1.3	1.5	7.4	1.8	264.2	264.2	100.9	107.7	234.2	101.9	103.4	111.1	104.2
	2016Q4	2.2	2.5	1.2	2.4	-5.7	1.0	1.6	6.6	2.7	265.8	266.1	101.5	108.8	226.9	102.2	104.0	112.9	104.9
	2017Q1	3.0	3.3	1.9	3.3	-6.8	1.2	2.1	6.9	2.2	267.8	268.3	101.8	109.8	223.6	102.6	104.7	115.8	105.2
	2017Q2	3.7	4.0	2.4	3.0	-6.2	1.5	2.5	6.5	1.7	272.0	272.5	102.9	110.3	224.2	103.0	105.5	117.5	105.7
	2017Q3	3.9	4.1	2.6	2.2	-3.5	1.5	2.6	6.6	1.8	274.5	275.1	103.5	110.0	226.0	103.4	106.1	118.4	106.1
	2017Q4	4.1	4.2	2.7	2.1	1.0	1.6	2.6	5.8	1.5	276.8	277.3	104.3	111.1	229.1	103.9	106.7	119.6	106.4
	2018Q1	4.0	4.0	2.6	1.7	4.4	1.5	2.5	4.2	1.6	278.5	278.9	104.4	111.7	233.4	104.2	107.3	120.6	106.9
	2018Q2	3.5	3.5	2.3	1.4	5.8	1.6	2.3	3.7	1.5	281.7	282.0	105.3	111.8	237.2	104.7	107.9	121.8	107.3
	2018Q3	3.4	3.3	2.2	1.2	6.9	1.7	2.2	4.0	1.6	283.9	284.2	105.8	111.4	241.4	105.2	108.5	123.1	107.7
	2018Q4	3.4	3.3	2.2	1.2	7.5	1.7	2.2	4.2	1.6	286.2	286.5	106.6	112.4	246.2	105.7	109.1	124.5	108.1
	2019Q1	3.3	3.2	2.1	1.1	6.2	1.8	2.1	4.3	1.6	287.6	287.8	106.6	112.9	247.8	106.1	109.6	125.8	108.5
	2019Q2	3.1	3.0	2.0	0.9	5.2	1.8	2.0	4.4	1.5	290.4	290.6	107.4	112.9	249.5	106.6	110.1	127.2	108.9
	2019Q3	3.1	3.1	2.0	0.9	4.4	1.8	2.0	4.4	1.6	292.7	292.9	107.9	112.5	252.1	107.0	110.6	128.6	109.5
	2019Q4	3.1	3.1	2.0	1.0	3.6	1.8	2.0	4.5	1.7	295.0	295.2	108.7	113.5	255.1	107.5	111.2	130.1	110.0
	2020Q1	3.1	3.1	2.0	1.0	4.3	1.9	2.0	4.5	1.8	296.5	296.6	108.7	114.0	258.5	108.1	111.8	131.4	110.5
	2020Q2	3.1	3.1	2.0	1.0	5.0	3.2	2.0	4.5	1.9	299.5	299.5	109.5	114.0	261.9	110.0	112.3	132.9	111.0
	2020Q3	3.1	3.1	2.0	1.0	5.3	3.4	2.0	4.5	1.9	301.9	301.9	110.0	113.6	265.4	110.6	112.9	134.4	111.5
	2020Q4	3.1	3.1	2.0	1.0	5.5	3.4	2.0	4.5	1.9	304.3	304.3	110.8	114.7	269.1	111.2	113.4	136.1	112.0
	2021Q1	3.1	3.1	2.0	1.0	5.7	3.4	2.0	4.6	1.9	305.8	305.7	110.8	115.2	273.3	111.8	114.0	137.5	112.6
	2021Q2	3.2	3.1	2.0	1.1	6.0	3.5	2.0	4.6	1.9	308.9	308.7	111.7	115.2	277.7	113.8	114.6	139.0	113.1
	2021Q3	3.2	3.1	2.0	1.1	6.5	3.5	2.0	4.6	1.9	311.4	311.2	112.2	114.8	282.5	114.5	115.2	140.7	113.7
	2021Q4	3.2	3.1	2.0	1.1	6.7	3.5	2.0	4.7	1.9	314.0	313.6	113.0	115.9	287.2	115.2	115.7	142.4	114.2
	2022Q1	3.2	3.1	2.0	1.1	7.2	3.5	2.0	4.7	1.9	315.6	315.1	113.1	116.4	293.0	115.8	116.3	144.0	114.7
	2008	4.0	4.3	3.6	6.7		3.4				214.8	208.5	84.7	98.0	388.0	84.8	89.9	92.0	91.9
	2009	-0.5	2.0	2.2	-0.2	-42.4	1.9	0.9	-8.9	1.5	213.7	212.6	86.6	97.9	223.6	86.4	90.7	83.8	93.3
	2010	4.6	4.8	3.3	2.2	0.5	1.4	2.1	5.7	1.5	223.6	222.7	89.4	100.0	224.7	87.5	92.6	88.6	94.7
	2011	5.2	5.3	4.5	4.6	3.1	2.5	3.6	-1.4	2.0	235.2	234.5	93.4	104.6	231.6	89.7	95.9	87.3	96.6
	2012	3.2	3.2	2.8	2.0	2.3	3.3	1.9	0.4	1.6	242.7	242.0	96.1	106.6	237.0	92.7	97.7	87.6	98.1
	2013	3.0	3.1	2.6	1.5	2.8	2.5	2.3	2.6	1.9	250.1	249.4	98.5	108.2	243.6	95.0	100.0	89.9	100.0
	2014	2.4	2.4	1.5	0.2	0.0	2.3	1.7	8.0	1.7	256.0	255.5	100.0	108.4	243.5	97.2	101.7	97.1	101.7
	2015	1.0	1.0	0.0	-1.4	-0.4	2.9	0.3	6.0	0.6	258.5	258.1	100.0	106.9	242.5	100.0	102.0	102.8	102.2
	2016	1.7	1.9	0.7	0.5	-3.1	1.7	1.2	7.6	1.7	263.1	263.0	100.7	107.5	235.0	101.8	103.2	110.7	104.0
	2017	3.7	3.9	2.4	2.6	-4.0	1.5	2.5	6.5	1.8	272.8	273.3	103.1	110.3	225.7	103.2	105.8	117.8	105.8
	2018	3.6	3.5	2.3	1.4	6.1	1.6	2.3	4.0	1.6	282.6	282.9	105.5	111.8	239.5	104.9	108.2	122.5	107.5
	2019	3.1	3.1	2.0	1.0	4.8	1.8	2.0	4.4	1.6	291.4	291.6	107.6	112.9	251.1	106.8	110.4	127.9	109.2
	2020	3.1	3.1	2.0	1.0	5.0	3.0	2.0	4.5	1.9	300.5	300.6	109.8	114.1	263.7	110.0	112.6	133.7	111.2
	2021	3.2	3.1	2.0	1.1	6.2	3.5	2.0	4.6	1.9	310.0	309.8	112.0	115.3	280.2	113.8	114.9	139.9	113.4
	2008/09	3.0	4.0	3.8	5.9		3.2				214.8	209.7	85.4	98.6	348.6	85.4	90.4	88.2	92.4
	2009/10	0.5	2.5	2.2	-0.4	-37.8	1.5	0.7	-3.2	1.4	215.8	215.0	87.3	98.2	216.8	86.6	91.0	85.3	93.7
	2010/11	5.0	5.0	3.5	2.9	4.8	1.5	2.6	3.6	1.8	226.5	225.6	90.3	101.0	227.2	87.9	93.4	88.4	95.4
	2011/12	4.8	4.9	4.3	4.4	2.1	2.8	3.3	-1.4	1.4	237.3	236.7	94.2	105.4	232.1	90.4	96.5	87.2	96.7
	2012/13	3.1	3.1	2.7	1.6	3.2	3.4	1.9	0.8	2.1	244.7	244.0	96.7	107.1	239.6	93.5	98.3	87.9	98.7
	2013/14	2.9	2.9	2.3	1.3	1.8	2.2	2.2	3.8	1.7	251.7	251.1	98.9	108.5	243.9	95.5	100.4	91.3	100.4
	2014/15	2.0	2.0	1.1	-0.4	-0.1	2.5	1.4	8.1	1.4	256.7	256.2	100.0	108.0	243.7	97.9	101.9	98.6	101.8
	2015/16	1.1	1.1	0.1	-1.2	-0.9	2.9	0.3	6.3	0.7	259.4	259.1	100.1	106.7	241.5	100.7	102.2	104.8	102.5
	2016/17	2.2	2.3	1.1	1.5	-4.4	1.3	1.6	7.4	2.0	265.0	265.1	101.1	108.4	230.9	102.0	103.8	112.5	104.6
	2017/18	3.9	4.1	2.6	2.2	-1.2	1.6	2.6	5.8	1.6	275.4	275.9	103.8	110.8	228.2	103.6	106.4	119.0	106.3
	2018/19	3.4	3.3	2.2	1.2	6.6	1.7	2.2	4.0	1.6	284.9	285.1	106.0	112.1	243.2	105.4	108.8	123.8	107.9
	2019/20	3.1	3.1	2.0	1.0	4.4	1.8	2.0	4.5	1.7	293.7	293.8	108.1	113.2	253.8	107.3	110.9	129.3	109.7
	2020/21	3.1	3.1	2.0	1.0	5.4	3.4	2.0	4.5	1.9	302.9	302.8	110.3	114.4	267.4	110.9	113.2	135.2	111.8
	2021/22	3.2	3.1	2.0	1.1	6.6	3.5	2.0	4.7	1.9	312.5	312.2	112.5	115.6	285.1	114.8	115.4	141.5	113.9
	Notes:																		
	RPI, RPIX and CPI inflation and Producer output prices are based on outturn data up to and including January 2017.																		
	Actual rents’ component of CPI. This series is constructed using forecasts of social housing rents and private rents. Private rents are assumed to grow in line with our average earnings forecast – see table 1.6. Details of our forecasts for social housing rents can be found in Table 1.17.																		
	Definitions:																		
	All items Retail Prices Index, all items Retail Prices Index excluding mortgage interest payments, all items Consumer Prices Index, Producer output prices, all manufacturing products (excluding duty), (percentage change over 12 months) (ONS Consumer Prices Index and Producer Prices Index Statistical Bulletins, identifier: CZBH, CDKQ, D7G7, JVZ8 respectively)																		
	Consumer expenditure deflator: Households final consumption expenditure at current market prices (ABJQ) plus non-profit institutions (HAYE) divided by Households final consumption expenditure, chained volume measure (ABJR) plus non-profit institutions (HAYO)																		
	Seasonally adjusted ONS House Price Index (House Price Index Statistical Bulletin, OBR estimates)																		
	Actual rents for housing (ONS Consumer Prices Index and Producer Prices Index Statistical Bulletins, identifier: D7GQ)																		
	Mortgage Interest Payments (ONS Consumer Prices Index Statistical Bulletins, identifier: CZCR)																		
