Back to contents																						
	2010Q4	29.3	58.2	25.3	2.5	7.9	63.2	1.45	31.7	930.9	64.4	206.5	169.7	36.8	23.5	0.7	103.9	105.3	99.7	98.4	101.5	99.3
	2011Q1	29.4	58.3	25.5	2.5	7.8	63.2	1.46	31.6	931.3	63.8	208.2	171.5	36.7	24.0	2.3	104.4	106.2	100.2	98.5	100.2	98.1
	2011Q2	29.4	58.2	25.4	2.5	7.9	63.2	1.50	31.3	921.4	64.3	207.7	170.9	36.9	24.4	1.3	104.1	107.0	101.3	98.5	100.8	97.4
	2011Q3	29.3	57.7	25.2	2.7	8.3	63.0	1.58	31.7	926.7	63.9	206.3	169.7	36.6	24.9	0.7	104.5	106.3	101.0	99.3	101.2	97.0
	2011Q4	29.3	57.8	25.2	2.7	8.4	63.1	1.60	31.7	929.5	63.9	208.9	170.0	38.9	25.0	0.5	104.4	106.1	100.8	99.2	101.1	97.5
	2012Q1	29.5	57.9	25.3	2.6	8.2	63.1	1.61	31.8	935.5	64.4	210.9	170.3	40.6	26.1	0.0	104.4	105.8	100.5	99.2	101.5	97.8
	2012Q2	29.7	58.2	25.4	2.6	8.0	63.3	1.59	31.7	940.8	64.3	210.9	173.2	37.7	26.6	1.4	105.5	107.0	100.1	98.7	100.6	96.9
	2012Q3	29.8	58.3	25.5	2.5	7.9	63.3	1.58	31.9	950.5	63.9	215.0	175.6	39.4	27.1	2.0	106.6	107.4	100.3	99.6	100.8	98.2
	2012Q4	29.9	58.5	25.6	2.5	7.8	63.5	1.57	31.9	952.5	63.6	213.6	176.1	37.5	27.4	1.9	106.4	107.5	100.0	99.0	99.5	96.4
	2013Q1	29.8	58.3	25.7	2.5	7.9	63.3	1.54	32.0	954.7	63.2	215.3	174.6	40.7	27.2	1.0	105.4	106.0	100.1	99.6	99.3	96.3
	2013Q2	29.9	58.4	25.7	2.5	7.7	63.3	1.49	32.0	957.2	64.5	221.1	180.5	40.5	27.5	3.0	108.7	109.4	100.1	99.5	101.5	98.1
	2013Q3	30.1	58.6	25.9	2.5	7.6	63.5	1.39	32.2	968.3	63.6	220.8	180.8	39.9	27.7	1.6	108.3	108.4	99.5	99.4	100.0	96.9
	2013Q4	30.3	58.9	25.9	2.4	7.2	63.5	1.27	32.0	969.1	64.1	222.0	181.7	40.2	29.1	2.3	108.9	109.5	100.0	99.4	100.8	97.2
	2014Q1	30.5	59.2	26.0	2.2	6.8	63.5	1.18	32.1	979.2	63.6	222.7	182.5	40.2	30.3	3.3	109.0	109.3	100.0	99.6	100.2	96.7
	2014Q2	30.7	59.5	26.1	2.1	6.3	63.5	1.08	32.2	988.4	62.5	223.1	184.7	38.4	30.2	0.9	109.6	109.6	100.2	100.2	99.2	96.0
	2014Q3	30.8	59.6	26.3	2.0	6.0	63.4	0.98	32.2	992.0	62.2	225.3	186.1	39.3	29.9	1.2	109.6	109.6	100.9	100.9	99.1	95.6
	2014Q4	30.9	59.7	26.4	1.9	5.7	63.3	0.91	32.2	996.7	63.0	228.2	189.1	39.1	30.3	1.8	110.9	110.7	101.3	101.4	100.8	96.3
	2015Q1	31.2	60.0	26.7	1.8	5.6	63.5	0.82	32.1	1000.8	62.8	229.4	190.8	38.6	30.2	1.8	110.9	111.1	101.1	100.9	100.0	96.2
	2015Q2	31.1	59.8	26.6	1.8	5.6	63.4	0.80	32.1	999.2	62.5	231.2	191.7	39.5	30.8	1.8	111.6	112.0	101.6	101.3	100.0	97.2
	2015Q3	31.3	60.1	26.8	1.8	5.3	63.5	0.79	31.9	1000.3	63.2	233.2	194.2	39.0	31.0	2.5	112.4	113.3	101.8	101.0	100.9	97.4
	2015Q4	31.5	60.4	26.9	1.7	5.1	63.6	0.78	32.2	1016.1	63.6	234.3	194.7	39.7	31.9	1.3	112.3	112.1	101.0	101.1	101.6	97.1
	2016Q1	31.6	60.4	26.9	1.7	5.1	63.6	0.74	32.2	1015.8	63.2	235.1	195.4	39.7	32.6	1.5	112.6	112.6	101.2	101.2	100.5	97.2
	2016Q2	31.8	60.6	27.0	1.6	4.9	63.7	0.77	32.0	1017.0	63.5	240.4	198.7	41.7	33.0	2.3	114.2	114.7	101.8	101.3	101.9	98.7
	2016Q3	31.8	60.6	27.0	1.6	4.8	63.6	0.79	32.1	1020.0	63.8	243.6	200.2	43.4	33.5	2.2	114.8	115.2	101.9	101.6	102.8	99.3
	2016Q4	31.8	60.5	27.0	1.6	4.8	63.6	0.80	32.1	1023.2	63.3	243.8	201.6	42.2	33.8	2.9	115.5	115.7	102.5	102.3	102.4	98.8
	2017Q1	31.9	60.5	27.1	1.6	4.8	63.6	0.79	32.1	1024.2	62.6	244.7	202.4	42.3	34.0	3.0	115.9	116.1	102.9	102.8	101.8	98.4
	2017Q2	31.9	60.5	27.1	1.6	4.9	63.6	0.82	32.1	1024.2	63.1	248.2	204.4	43.8	34.4	2.4	117.0	117.2	103.3	103.0	102.9	99.0
	2017Q3	31.9	60.4	27.1	1.7	5.0	63.6	0.85	32.1	1024.3	63.2	249.9	205.8	44.1	34.7	2.5	117.7	118.1	103.6	103.3	103.3	99.1
	2017Q4	32.0	60.4	27.1	1.7	5.1	63.6	0.86	32.1	1024.4	63.3	251.8	207.3	44.5	35.1	2.6	118.5	119.0	104.0	103.6	103.7	99.2
	2018Q1	32.0	60.4	27.1	1.7	5.1	63.6	0.86	32.0	1025.2	63.2	253.3	208.5	44.8	35.3	2.7	119.1	119.6	104.3	103.9	103.8	99.1
	2018Q2	32.0	60.4	27.1	1.7	5.1	63.6	0.86	32.0	1025.6	63.3	255.9	210.4	45.5	35.8	2.7	120.1	120.7	104.7	104.2	104.4	99.5
	2018Q3	32.1	60.4	27.2	1.7	5.1	63.6	0.86	32.0	1025.9	63.3	258.1	212.2	45.9	36.1	2.8	121.0	121.7	105.2	104.5	104.7	99.8
	2018Q4	32.1	60.4	27.2	1.7	5.1	63.6	0.87	32.0	1026.2	63.3	260.1	213.9	46.3	36.5	2.8	121.9	122.7	105.6	104.9	105.1	99.9
	2019Q1	32.2	60.3	27.2	1.7	5.1	63.6	0.87	31.9	1026.6	63.3	262.0	215.4	46.6	36.9	3.0	122.6	123.6	106.0	105.2	105.3	100.1
	2019Q2	32.2	60.3	27.2	1.7	5.2	63.6	0.87	31.9	1026.9	63.4	264.6	217.2	47.4	37.3	2.9	123.6	124.6	106.5	105.6	105.9	100.6
	2019Q3	32.2	60.3	27.3	1.8	5.2	63.6	0.87	31.9	1027.3	63.4	266.8	219.0	47.8	37.7	2.9	124.5	125.7	106.9	106.0	106.2	100.8
	2019Q4	32.2	60.3	27.3	1.8	5.2	63.5	0.88	31.9	1027.8	63.3	269.0	220.8	48.2	38.1	3.0	125.5	126.7	107.4	106.4	106.5	101.1
	2020Q1	32.3	60.2	27.3	1.8	5.2	63.5	0.88	31.8	1028.0	63.4	271.5	222.9	48.6	38.5	3.2	126.6	127.9	107.9	106.8	107.0	101.5
	2020Q2	32.3	60.2	27.3	1.8	5.2	63.5	0.88	31.8	1028.4	63.4	274.2	225.1	49.1	39.0	3.4	127.7	129.1	108.4	107.2	107.4	101.9
	2020Q3	32.3	60.2	27.3	1.8	5.2	63.4	0.88	31.8	1028.9	63.4	276.9	227.2	49.6	39.5	3.5	128.9	130.4	108.9	107.7	107.9	102.3
	2020Q4	32.4	60.1	27.3	1.8	5.2	63.4	0.88	31.8	1029.3	63.4	279.4	229.3	50.1	39.9	3.6	130.0	131.5	109.4	108.1	108.3	102.7
	2021Q1	32.4	60.1	27.3	1.8	5.2	63.4	0.88	31.8	1029.8	63.3	282.0	231.4	50.6	40.4	3.6	131.1	132.7	109.9	108.6	108.7	103.1
	2021Q2	32.4	60.1	27.4	1.8	5.1	63.3	0.88	31.8	1030.3	63.3	284.8	233.8	51.0	40.9	3.6	132.4	134.1	110.5	109.0	109.1	103.5
	2021Q3	32.5	60.0	27.4	1.8	5.1	63.3	0.88	31.7	1030.8	63.3	287.5	236.1	51.5	41.4	3.6	133.6	135.4	111.0	109.5	109.6	103.9
	2021Q4	32.5	60.0	27.4	1.8	5.1	63.2	0.88	31.7	1031.3	63.4	290.3	238.3	52.0	41.9	3.7	134.8	136.6	111.5	109.9	110.0	104.3
	2022Q1	32.5	60.0	27.4	1.8	5.1	63.2	0.88	31.7	1031.7	63.4	293.1	240.6	52.5	42.4	3.7	136.0	137.9	112.0	110.4	110.5	104.8
	2008	29.6	60.0	25.8	1.8	5.7	63.6	1.5	31.9	946.1	62.8	792.4	662.4	129.9	95.0	1.2	100	100	99	98	98	97
	2009	29.2	58.6	25.3	2.4	7.6	63.4	1.5	31.5	918.6	64.4	795.4	663.0	132.5	95.1	2.0	102	104	98	96	98	99
	2010	29.2	58.2	25.2	2.5	7.9	63.2	1.5	31.6	923.6	64.7	819.7	671.9	147.7	95.3	1.5	103	105	99	98	101	100
	2011	29.4	58.0	25.3	2.6	8.1	63.1	1.6	31.6	927.2	64.0	831.1	682.2	149.0	98.3	1.2	104	106	101	99	101	98
	2012	29.7	58.3	25.5	2.6	8.0	63.3	1.4	31.8	944.8	64.0	850.5	695.3	155.2	107.2	1.3	106	107	100	99	101	97
	2013	30.0	58.6	25.8	2.5	7.6	63.4	1.0	32.0	962.3	63.8	879.1	717.7	161.4	111.4	2.0	108	108	100	99	100	97
	2014	30.8	59.5	26.2	2.0	6.2	63.4	0.8	32.2	989.1	62.8	899.3	742.4	156.9	120.7	1.8	110	110	101	101	100	96
	2015	31.3	60.1	26.7	1.8	5.4	63.5	0.8	32.1	1004.1	63.0	928.1	771.3	156.8	123.9	1.9	112	112	101	101	101	97
	2016	31.7	60.5	27.0	1.6	4.9	63.6	0.8	32.1	1019.0	63.4	962.9	795.9	167.0	132.9	2.2	114	115	102	102	102	99
	2017	31.9	60.5	27.1	1.7	4.9	63.6	0.9	32.1	1024.2	63.1	994.7	819.9	174.7	138.2	2.6	117	118	103	103	103	99
	2018	32.1	60.4	27.2	1.7	5.1	63.6	0.9	32.0	1025.7	63.3	1027.4	844.9	182.5	143.8	2.7	121	121	105	104	104	100
	2019	32.2	60.3	27.2	1.8	5.2	63.6	0.9	31.9	1027.1	63.4	1062.4	872.5	190.0	149.9	3.0	124	125	107	106	106	101
	2020	32.3	60.2	27.3	1.8	5.2	63.5	0.9	31.8	1028.7	63.4	1101.9	904.5	197.5	156.8	3.4	128	130	109	107	108	102
	2021	32.5	60.0	27.4	1.8	5.1	63.3	0.9	31.8	1030.6	63.3	1144.6	939.5	205.1	164.5	3.6	133	135	111	109	109	104
	2008/09	29.5	59.7	25.7	1.9	6.2	63.7	1.6	31.8	938.2	62.8	785.7	656.4	129.3	95.6	-0.2	99	100	98	97.1	96.6	96.3
	2009/10	29.1	58.3	25.2	2.5	7.8	63.2	1.5	31.5	916.3	64.9	803.6	667.4	136.1	95.7	3.9	103	105	98	96.1	99.5	99.9
	2010/11	29.3	58.3	25.3	2.5	7.8	63.2	1.6	31.6	927.9	64.4	825.9	678.5	147.4	94.8	1.0	104	106	100	98.0	101.0	99.4
	2011/12	29.4	57.9	25.3	2.6	8.2	63.1	1.6	31.6	928.3	64.1	833.8	681.0	152.9	100.4	0.6	104	106	101	99.1	101.1	97.4
	2012/13	29.8	58.3	25.6	2.5	7.9	63.3	1.3	31.9	949.6	63.7	854.9	699.6	155.3	108.2	1.5	106	107	100	99.2	100.1	96.9
	2013/14	30.2	58.8	25.9	2.4	7.3	63.4	0.9	32.0	968.5	63.9	886.5	725.7	160.8	114.5	2.6	109	109	100	99.5	100.6	97.2
	2014/15	30.9	59.7	26.4	1.9	5.9	63.4	0.8	32.2	994.5	62.6	906.0	750.6	155.4	120.6	1.4	110	110	101	100.8	99.8	96.0
	2015/16	31.4	60.2	26.8	1.7	5.3	63.5	0.8	32.1	1007.9	63.1	933.9	775.9	157.9	126.3	1.8	112	113	101	101.1	100.8	97.2
	2016/17	31.8	60.6	27.0	1.6	4.8	63.6	0.8	32.1	1021.1	63.3	972.5	802.9	169.6	134.3	2.6	115	115	102	102.0	102.2	98.8
	2017/18	31.9	60.4	27.1	1.7	5.0	63.6	0.9	32.1	1024.5	63.2	1003.2	826.0	177.2	139.5	2.6	118	118	104	103.5	103.4	99.1
	2018/19	32.1	60.4	27.2	1.7	5.1	63.6	0.9	32.0	1026.1	63.3	1036.1	851.8	184.3	145.3	2.8	121	122	105	104.7	104.9	99.8
	2019/20	32.2	60.3	27.3	1.8	5.2	63.5	0.9	31.9	1027.5	63.4	1072.0	880.0	192.0	151.5	3.0	125	126	107	106.2	106.4	101.0
	2020/21	32.4	60.1	27.3	1.8	5.2	63.4	0.9	31.8	1029.1	63.4	1112.4	913.0	199.4	158.7	3.5	129	131	109	107.9	108.1	102.5
	2021/22	32.5	60.0	27.4	1.8	5.1	63.3	0.9	31.7	1031.0	63.3	1155.8	948.7	207.0	166.5	3.7	134	136	111	109.7	109.8	104.1
	Definitions:																					
	LFS employment, all aged 16 and over (ONS identifier: MGRZ)																					
	LFS employment rate, all aged 16 and over (ONS identifier: MGSR)																					
	LFS employees equal to total employment less self-employed, all aged 16 and over (ONS identifier: MGRZ less MGRQ)																					
	ILO unemployment, all aged 16 and over (ONS identifier: MGSC)																					
	ILO unemployment rate, all aged 16 and over (ONS identifier: MGSX)																					
	LFS participation rate, all aged 16 and over (ONS identifier: MGWG)																					
	Claimant count: the number of people claiming Jobseeker's allowance (ONS identifier: BCJD)																					
	LFS average (mean) actual weekly hours worked, all workers (ONS identifier: YBUV)																					
	LFS total weekly hours worked, millions (ONS identifier: YBUS)																					
	Labour share: total compensation of employees (ONS identifier: DTWM) and mixed income (ONS identifier: ROYH) as a share of nominal Gross Value Added (ONS identifier: ABML).																					
	Compensation of employees, £ billion (ONS identifier: DTWM)																					
	Wages and salaries, £ billion, equal to total compensation of employees (ONS identifier: DTWM) minus employers social contributions (ONS identifier: ROYK)																					
	Employers social contributions, £ billion (ONS identifier: ROYK)																					
	Average earnings growth: wages and salaries divided by employees, year on year growth rates and index. Wages and salaries equal to total compensation of employees (ONS identifier: DTWM) minus employers social contributions (ONS identifier: ROYK).  Employees equal to total employment (MGRZ) less self-employed (MGRQ)																					
	Productivity per hour: non-oil Gross Value Added (ONS identifier: KLS2) divided by total weekly hours worked (ONS identifier: YBUS)																					
	Productivity per worker index: non-oil Gross Value Added (ONS identifier: KLS2) divided by total 16+ employment (ONS identifier: MGRZ)																					
	Real product wage index: Compensation of employees (ONS identifier: DTWM) divided by employees (total employment (MGRZ) less self-employed (MGRQ)) and then deflated by the Gross Valued Added deflator (GVA at current market prices (ONS identifier: ABML) divided by GVA chained volume measure (ABMM))																					
	Real consumption wage: Compensation of employees (ONS identifier: DTWM) divided by employees (total employment (MGRZ) less self-employed (MGRQ)) and then deflated by the consumer expenditure deflator (households final consumption expenditure at current market prices (ABJQ) plus non-profit institutions (HAYE) divided by households final consumption expenditure, chained volume measure (ABJR) plus non-profit institutions (HAYO))																					
